"","year","vote","region","urbanism","grewup","turnout"
"1","2000","2. Republican","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"2","2000","7. Did not vote or voted but not for president (exc.1972)","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","6. In a suburb of a large city","2. Registered, but did not vote"
"3","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"4","2000","4. Other (incl. 3d/minor party candidates and write-ins)","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","5. In a large city (100,000-500,000)","3. Voted (registered)"
"5","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","1. On a farm","1. Not registered, and did not vote"
"6","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","3. In a small city or town (under 50,000)","3. Voted (registered)"
"7","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","3. In a small city or town (under 50,000)","3. Voted (registered)"
"8","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"9","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"10","2000","2. Republican","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","1. Central cities","7. In a very large city (over 500,000)","3. Voted (registered)"
"11","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"12","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","1. On a farm","3. Voted (registered)"
"13","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"14","2000","1. Democrat","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","5. In a large city (100,000-500,000)","3. Voted (registered)"
"15","2000","1. Democrat","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","1. Central cities","5. In a large city (100,000-500,000)","3. Voted (registered)"
"16","2000","4. Other (incl. 3d/minor party candidates and write-ins)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","4. In a medium-sized city (50,000-100,000)","3. Voted (registered)"
"17","2000","1. Democrat","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","3. Rural, small towns, outlying and adjacent areas","7. In a very large city (over 500,000)","3. Voted (registered)"
"18","2000","7. Did not vote or voted but not for president (exc.1972)","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","3. Rural, small towns, outlying and adjacent areas","8. In a suburb of a very large city","1. Not registered, and did not vote"
"19","2000","7. Did not vote or voted but not for president (exc.1972)","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","3. Rural, small towns, outlying and adjacent areas","5. In a large city (100,000-500,000)","2. Registered, but did not vote"
"20","2000","1. Democrat","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","3. Rural, small towns, outlying and adjacent areas","2. In the country, not on a farm","3. Voted (registered)"
"21","2000","2. Republican","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","2. In the country, not on a farm","3. Voted (registered)"
"22","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","5. In a large city (100,000-500,000)","3. Voted (registered)"
"23","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","1. Central cities","7. In a very large city (over 500,000)","3. Voted (registered)"
"24","2000","1. Democrat","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","1. Central cities","1. On a farm","3. Voted (registered)"
"25","2000","1. Democrat","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","3. Rural, small towns, outlying and adjacent areas","2. In the country, not on a farm","3. Voted (registered)"
"26","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","7. In a very large city (over 500,000)","1. Not registered, and did not vote"
"27","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"28","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","1. On a farm","3. Voted (registered)"
"29","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","1. On a farm","3. Voted (registered)"
"30","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","2. In the country, not on a farm","3. Voted (registered)"
